,District_Name,SCHOOL,Gender,2011_Total,%0-5_Points,%6-10_Points,%11-15_Points,%16-20_Points,%21-25_Points,2012_Total,%0-5_Points.1,%6-10_Points.1,%11-15_Points.1,%16-20_Points.1,%21-25_Points.1,2013_Total,%0-5_Points.2,%6-10_Points.2,%11-15_Points.2,%16-20_Points.2,2014_Total,%0-5_Points.3,%6-10_Points.3,%11-15_Points.3,%16-20_Points.3,2015_Total,%0-5_Points.4,%6-10_Points.4,%11-15_Points.4,%16-20_Points.4
340,MARACHA._Total,YIVU_SECONDARY_SCHOOL,Total,233.0,23.6,49.4,24.0,3.0,0.0,212.0,24.1,51.4,19.8,4.7,0.0,312.0,44.9,48.7,6.4,0.0,151.0,43.7,44.4,11.9,0.0,144.0,43.6,49.3,3.5,0.0
351,BUYENDE_Total,LUNAR_INTERNATIONAL_COLLEGE,Total,100.0,22.0,32.0,27.0,18.0,1.0,143.0,34.3,46.2,16.8,2.8,0.0,402.0,47.3,36.3,15.4,1.0,99.0,50.5,34.3,15.2,0.0,140.0,51.0,37.1,6.4,0.0
364,KYEGEGWA_Total,WEKOMIIRE_SECONDARY_SCHOOL,Total,137.0,29.9,42.3,21.2,5.1,1.5,148.0,27.7,37.2,26.4,8.1,0.7,402.0,50.7,33.8,14.4,1.0,139.0,49.6,25.9,20.1,4.3,187.0,38.9,47.6,9.6,0.0
888,WAKISO_Total,ZANA_MIXED_SECONDARY_SCHOOL,Total,17895.0,15.0,30.9,28.2,18.7,7.1,19024.0,13.9,31.7,30.5,17.4,6.5,38588.0,26.1,37.2,27.0,9.7,18975.0,20.2,34.2,30.7,14.9,18552.0,21.6,41.9,27.9,6.1
902,KOLE_Total,"ST.MARY'S_GIRLS'_COLLEGE,ABOKE",Total,113.0,21.2,32.7,20.4,24.8,0.9,135.0,17.0,38.5,22.2,21.5,0.7,340.0,44.7,36.5,18.2,0.6,198.0,34.3,32.8,27.8,5.1,156.0,35.9,41.7,19.2,0.0
947,KALUNGU_Total,YESU_AKWAGALA_HIGH_SCHOOL,Total,703.0,11.5,39.5,31.2,15.8,2.0,870.0,13.1,34.1,37.7,13.6,1.5,1902.0,21.3,45.6,29.2,3.8,921.0,20.5,40.9,30.4,8.1,724.0,22.9,45.7,27.1,2.6
952,KITGUM_Total,PALABEK_SECONDARY_SCHOOL,Total,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,30.0,0.0,0.0,80.0,50.0,42.5,7.5,0.0,23.0,8.7,78.3,13.0,0.0,38.0,43.4,39.5,13.2,0.0
957,NTOROKO_Total,RWEBISENGO_SECONDARY_SCHOOL,Total,14.0,42.9,42.9,14.3,0.0,0.0,14.0,57.1,35.7,7.1,0.0,0.0,44.0,68.2,22.7,9.1,0.0,30.0,43.3,56.7,0.0,0.0,25.0,56.0,44.0,0.0,0.0
966,ABIM_Total,MORULEM_GIRLS'_SECONDARY_SCHOOL,Total,59.0,27.1,42.4,23.7,6.8,0.0,102.0,24.5,48.0,26.5,1.0,0.0,198.0,54.5,41.4,4.0,0.0,64.0,46.9,40.6,12.5,0.0,44.0,51.3,31.8,4.5,0.0
971,OTUKE_Total,OKWANG_SECONDARY_SCHOOL,Total,76.0,6.6,44.7,31.6,17.1,0.0,68.0,14.7,33.8,47.1,4.4,0.0,152.0,52.6,42.1,5.3,0.0,79.0,41.8,50.6,7.6,0.0,86.0,48.5,44.2,3.5,0.0
